 -8.50000e+00  2.00000e+00  1.19999e+01
 -8.00000e+00  1.20000e+00  9.88462e+00
 -7.50000e+00  4.90000e+00  7.34395e+00
 -7.00000e+00  3.50000e+00 -1.08650e+00
 -6.50000e+00  5.40000e+00  7.23286e-02
 -6.00000e+00  6.70000e+00  4.51041e+00
 -5.50000e+00  3.20000e+00  2.72955e+00
 -5.00000e+00  5.50000e+00 -1.28865e+00
 -4.50000e+00  6.00000e+00  9.20704e+00
 -4.00000e+00  2.90000e+00  3.55307e+00
 -3.50000e+00  8.80000e+00  4.96498e+00
 -3.00000e+00  7.60000e+00  1.24058e+01
 -2.50000e+00  1.03000e+01  1.99035e+00
 -2.00000e+00  1.59000e+01  1.55543e+01
 -1.50000e+00  2.52000e+01  3.46654e+01
 -1.00000e+00  4.02000e+01  4.49030e+01
 -5.00000e-01  1.20500e+02  1.23789e+02
  0.00000e+00  1.73500e+02  1.83423e+02
  5.00000e-01  1.36100e+02  1.32266e+02
  1.00000e+00  3.74000e+01  3.67316e+01
  1.50000e+00  2.86000e+01  3.44251e+01
  2.00000e+00  1.24000e+01  1.55323e+01
  2.50000e+00  9.10000e+00  1.32102e+01
  3.00000e+00  7.90000e+00  8.59563e+00
  3.50000e+00  6.40000e+00 -2.06167e+00
  4.00000e+00  4.60000e+00  9.33071e+00
  4.50000e+00  8.20000e+00  1.72804e+01
  5.00000e+00  6.10000e+00 -4.39188e-01
  5.50000e+00  4.90000e+00  7.40007e-01
  6.00000e+00  8.70000e+00  1.16881e+01
  6.50000e+00  4.60000e+00  5.49679e+00
  7.00000e+00  3.80000e+00 -3.82198e+00
  7.50000e+00  6.10000e+00  3.47547e+00
  8.00000e+00  4.20000e+00  1.37254e+01
  8.50000e+00  4.10000e+00 -3.26082e+00
