  5.00000E-01 -2.03632E-01 -3.26392E-01 -2.00484E-01
  1.00000E+00  4.11614E-03 -9.66102E-02  4.11614E-03
  1.50000E+00  8.59563E-02  2.30023E-02  1.04843E-01
  2.00000E+00  3.55932E-02  4.81839E-02  1.58353E-01
  2.50000E+00  3.24455E-02  1.04116E-02  1.77240E-01
  3.00000E+00  8.59563E-02  1.98546E-02  1.74092E-01
  3.50000E+00  1.30024E-01  3.24455E-02  1.48910E-01
  4.00000E+00  9.22517E-02 -2.17930E-03  9.22517E-02
  4.50000E+00  9.68417E-04 -5.25424E-02 -2.17930E-03
  5.00000E+00 -9.34626E-02 -1.34383E-01 -9.34626E-02
  5.50000E+00 -1.56417E-01 -1.91041E-01 -1.56417E-01
  6.00000E+00 -2.50848E-01 -2.91768E-01 -2.50848E-01
  6.50000E+00 -3.51574E-01 -4.01937E-01 -3.48426E-01
  7.00000E+00 -4.71187E-01 -5.53027E-01 -4.71187E-01
  7.50000E+00 -7.60775E-01 -8.74092E-01 -7.60775E-01
