 318 0.92 0.832 0.85 0.758 0.775
 319.9 0.92 0.834 0.849 0.758 0.777
 321.7 0.919 0.834 0.848 0.759 0.778
 323.5 0.92 0.836 0.848 0.761 0.779
 325.3 0.922 0.837 0.85 0.762 0.779
 327.1 0.923 0.839 0.85 0.763 0.778
 329 0.925 0.839 0.851 0.763 0.778
 330.8 0.927 0.84 0.851 0.764 0.777
 332.6 0.928 0.841 0.852 0.764 0.777
 334.4 0.929 0.841 0.853 0.764 0.777
 336.2 0.931 0.842 0.854 0.763 0.777
 338 0.933 0.843 0.854 0.764 0.777
 339.9 0.933 0.844 0.855 0.764 0.776
 341.7 0.934 0.844 0.855 0.764 0.776
 343.5 0.935 0.845 0.856 0.764 0.776
 345.3 0.936 0.846 0.857 0.764 0.776
 347.1 0.937 0.846 0.857 0.763 0.775
 348.9 0.939 0.847 0.857 0.763 0.776
 350.7 0.94 0.848 0.857 0.763 0.777
 352.5 0.941 0.849 0.858 0.763 0.776
 354.3 0.942 0.849 0.858 0.763 0.777
 356.1 0.943 0.85 0.859 0.763 0.778
 357.9 0.944 0.85 0.859 0.763 0.778
 359.7 0.945 0.851 0.859 0.763 0.777
 361.5 0.946 0.851 0.859 0.764 0.777
 363.3 0.946 0.852 0.859 0.764 0.778
 365.1 0.946 0.852 0.86 0.764 0.778
 366.9 0.947 0.853 0.86 0.764 0.779
 368.7 0.948 0.854 0.86 0.764 0.779
 370.5 0.949 0.855 0.861 0.765 0.778
 372.3 0.95 0.856 0.861 0.765 0.778
 374 0.951 0.857 0.862 0.765 0.778
 375.8 0.952 0.857 0.862 0.764 0.779
 377.6 0.953 0.857 0.863 0.764 0.781
 379.4 0.953 0.859 0.863 0.765 0.781
 381.2 0.954 0.86 0.863 0.766 0.78
 383 0.956 0.86 0.864 0.767 0.779
 384.8 0.957 0.86 0.864 0.767 0.779
 386.5 0.958 0.86 0.864 0.767 0.779
 388.3 0.959 0.86 0.864 0.767 0.78
 390.1 0.961 0.861 0.865 0.767 0.781
 391.9 0.962 0.863 0.865 0.768 0.782
 393.6 0.963 0.864 0.866 0.769 0.781
 395.4 0.965 0.865 0.867 0.77 0.782
 397.2 0.966 0.866 0.867 0.77 0.783
 399 0.968 0.868 0.868 0.77 0.785
 400.7 0.969 0.87 0.869 0.771 0.786
 402.5 0.97 0.873 0.87 0.772 0.787
