    0     0     0     0     0    29    34    31    33    39    46    40
   50    44    45    41    55    31    64    69    99    87   142   141
  158   204   201   270   379   521   782   664   744   770   434   327
  245   176   131   132   143   132    86    66    63    58    42    55
   49    34    33    42    38    32    28    26    32    43    32     2
    0     0     0     0     0     0     0     0     2    29    31    46
   32    36    39    58    44    56    69    50    45    54    66    88
  116   148   138   175   174   248   256   345   443   683  1028   853
  850   943   580   399   275   227   218   166   174   142   125    84
   74    88    51    58    63    48    43    38    31    43    27    19
   33    35    49     1     0     0     0     0     0     0     0     0
    3    38    28    24    29    31    36    36    33    49    54    46
   61    50    73    84    90   124   135   142   195   214   220   266
  376   602   870   739   808   805   582   369   312   253   199   135
  188   130   111    76    75    78    58    58    52    32    39    38
   27    29    28    19    29    39    32     4     0     0     0     0
    0     0     0     0     1    36    40    29    25    34    40    26
   45    42    49    54    72    42    90    90   113   138   174   164
  229   287   327   412   471   762  1040   951   968  1026   726   479
  350   316   292   230   189   179   140    84    89    80    58    75
   50    53    43    30    35    37    33    21    35    33    31     2
    0     0     0     0     0     0     0     0     2    44    38    43
   31    44    42    41    53    52    75    72    71    62    92   101
  149   144   242   227   338   392   431   543   686  1004  1262  1170
 1244  1289   910   564   447   401   387   271   246   220   146   102
  104    74    77    92    49    70    47    35    45    44    35    43
   35    33    44     6     0     0     1     0     0     0     0     0
    2    45    53    39    26    39    44    51    59    64    66    64
   81    61   120   143   174   199   254   297   386   449   492   603
  765  1051  1312  1245  1346  1452   962   728   554   381   200   230
  280   273   145   130    98    91    90    74    60    47    38    44
   41    39    42    40    51    52    31     1     0     0     0     0
    0     0     0     0     1    26    45    26    46    55    41    47
   66    57    73    60    77    59   107   171   194   240   290   331
  426   486   565   743   878  1156  1498  1338  1515  1585  1210   970
  791   404   190   262   329   263   203   150   126   117    72   101
   71    40    38    69    49    49    49    39    44    32    52     4
    0     0     0     0     0     0     0     0     0    40    41    53
   39    60    61    64    70    85   106   110   130    91   188   206
  242   306   401   402   537   657   703   865   970  1025  1386  1089
 1175  1298   894   924   910   507   256   357   481   413   263   202
  179   170   131   177    87    52    58    88    99    71    65    58
   69    63    75     0     0     0     0     0     0     0     0     0
    0    54    59    50    90    84    77    76   112   117   124   181
  214   173   247   295   356   460   553   549   828   961   948  1075
  819   264   283   203   214   312   351   945  1201  1006   510   554
  746   617   467   313   309   316   227   296   166   133   131   152
  139   126   144   103   124   104   109     1     0     0     0     0
    0     0     0     0     4    84    85    89    95   133   121   138
  162   193   255   257   328   245   453   497   604   639   890   797
 1244  1352  1373  1439   998   314   168   102   128   188   354  1148
 1687  1575  1237   907  1010  1028   771   591   532   541   400   390
  324   267   267   220   225   229   175   148   190   131   172     4
    0     0     0     0     0     0     0     0     2    80    80    90
   65   105   140   137   155   188   238   248   284   221   333   389
  448   551   676   633   897   850   906  1077   808   183    88    58
   87   113   208   757   906   850   770   642   549   579   567   511
  449   428   345   344   293   272   238   162   184   168   157   101
