       0.58750000E+01      0.21991806E+01
       0.81500001E+01      0.25268758E+00
       0.94500001E+01      0.76400428E+01
       0.10625000E+02      0.11782214E+02
       0.11375000E+02      0.11551944E+00
       0.11900000E+02      0.24331533E+00
       0.12540000E+02      0.28229015E+01
       0.13225000E+02      0.38031458E+01
       0.14060000E+02      0.12268871E+02
       0.14765000E+02      0.16479354E+02
       0.15340000E+02      0.14284608E+02
       0.16050000E+02      0.19956318E+02
       0.16960000E+02      0.20128249E+02
       0.17890000E+02      0.26202927E+02
       0.18690001E+02      0.25138347E+02
       0.19610000E+02      0.26829810E+02
       0.20585000E+02      0.28245230E+02
       0.21635000E+02      0.28466447E+02
       0.22740001E+02      0.29660141E+02
       0.23825001E+02      0.28444559E+02
       0.24975001E+02      0.26413686E+02
       0.26235000E+02      0.24281071E+02
       0.27599999E+02      0.22069795E+02
       0.29000000E+02      0.19889117E+02
       0.30450000E+02      0.17802856E+02
       0.31965000E+02      0.15894882E+02
       0.33560002E+02      0.14263392E+02
       0.35260001E+02      0.13256553E+02
       0.37010001E+02      0.12628311E+02
       0.38855002E+02      0.12096321E+02
       0.40800001E+02      0.11992892E+02
       0.42850001E+02      0.12001341E+02
       0.45010001E+02      0.12360027E+02
       0.47240000E+02      0.12619717E+02
       0.49584999E+02      0.12940154E+02
       0.52039999E+02      0.13843353E+02
       0.54619999E+02      0.14604083E+02
       0.57369999E+02      0.15243555E+02
       0.60240000E+02      0.17221408E+02
       0.63245001E+02      0.18579396E+02
       0.66365001E+02      0.21873876E+02
       0.69715000E+02      0.24198320E+02
       0.73279999E+02      0.25834092E+02
       0.76925000E+02      0.22925315E+02
       0.80729999E+02      0.19311253E+02
       0.84720001E+02      0.18026995E+02
       0.88970001E+02      0.18093527E+02
       0.93409999E+02      0.18692518E+02
       0.98059999E+02      0.18757942E+02
       0.10308000E+03      0.19845219E+02
       0.10824000E+03      0.20651431E+02
       0.11359000E+03      0.21256190E+02
       0.11924500E+03      0.20996256E+02
       0.12519500E+03      0.20321563E+02
       0.13145500E+03      0.21106228E+02
       0.13806001E+03      0.21040234E+02
       0.14502001E+03      0.21375301E+02
       0.15229000E+03      0.21550949E+02
       0.15993000E+03      0.22257602E+02
       0.16784001E+03      0.22865598E+02
       0.17618000E+03      0.23693905E+02
       0.18504500E+03      0.24807080E+02
       0.19427500E+03      0.25788713E+02
       0.20399000E+03      0.27256240E+02
       0.21423500E+03      0.28435429E+02
       0.22496001E+03      0.27789596E+02
       0.23623001E+03      0.27045575E+02
       0.24795000E+03      0.27040011E+02
       0.26030000E+03      0.27659557E+02
       0.27340001E+03      0.30594828E+02
       0.28715001E+03      0.36822977E+02
       0.30150000E+03      0.47949325E+02
       0.31650000E+03      0.58361784E+02
       0.33227501E+03      0.10148919E+03
       0.34892500E+03      0.88883173E+02
       0.36635001E+03      0.13675383E+03
       0.38460001E+03      0.30202364E+03
       0.40445000E+03      0.21141688E+03
       0.42450000E+03      0.35042273E+03
       0.44500000E+03      0.36000313E+03
       0.46745000E+03      0.27845227E+03
       0.49060001E+03      0.17686230E+03
