   861.4009       865.4336       867.2168       869.9114       867.2075    
   863.2518       860.1795       851.0396       842.8741       829.0443    
   832.4802       831.8648       836.3986       843.7390       846.5711    
   837.8765       845.4615       842.3893       826.3333       815.0792    
   813.1795       814.8159       823.7599       817.1795       818.3100    
   814.0792       826.0327       830.8834       819.8159       813.4219    
   801.8065       803.5571       799.9464       790.6830       782.4126    
   778.3357       779.8928       776.8205       768.5944       765.2681    
   758.7459       758.2751       747.2494       739.7040       708.0513    
   684.3473       658.2494       631.2867       616.5524       610.5058    
   605.7832       603.3520       603.7226       602.5315       589.9697    
   579.4056       562.1958       554.5944       553.0070       544.8415    
   544.2867       542.1748       541.0256       542.8741       543.2820    
   541.4382       534.2494       539.6224       543.9254       530.0303    
   521.7482       514.2004       518.4406       524.2191       528.1096    
   530.9534       535.3264       540.9440       537.4918       529.3543    
   526.9464       519.9510       527.8858       529.8369       523.1142    
   524.9977       522.2518       512.4429       510.9860       511.3613    
   513.3240       506.6736       512.0723       513.9790       504.8182    
   510.2471       501.0793       499.0490       507.2028       505.4196    
   513.4243       507.5408       508.5641       514.5058       508.1072    
   504.4872       501.6923       509.5898       510.4219       501.2075    
   505.4499       490.0583       494.1911       499.3543       488.2284    
   485.5408       487.4872       494.2005       496.2890       495.5222    
   508.2331       508.4919       518.6690       520.1492       514.7319    
   511.5151       498.9021       498.7809       498.3100       495.2564    
   496.2961       488.5548       491.2820       495.7879       495.5571    
   490.8205       487.9161       494.2471       495.9860       492.6970    
   482.1212       482.4102       497.3543       510.3543       511.4685    
   510.3590       516.4568       521.4825       528.2657       529.9883    
   530.0350       541.2145       556.7715       566.6457       571.9534    
   581.6597       594.0723       593.0746       597.5734       595.2075    
   583.8182       579.0303       573.0606       560.1189       546.9930    
   545.5035       542.9557       529.6620       525.8065       521.7459    
   526.2541       539.3706       545.2308       556.5757       561.1212    
   574.0699       573.9744       558.2471       542.3427       532.4825    
   525.2681       520.7715       520.9138       522.6177       520.7599    
   526.5688       532.1818       533.2214       539.6620       554.1865    
